replicate,method,sample_size,optimisation_runtime_seconds,candidate_count,oos_mean_hypervolume,oos_mean_igd_plus,oos_mean_metric_front_size,oos_q90_hypervolume,oos_q90_igd_plus,oos_q90_metric_front_size,cost_mean_coverage,cost_median_coverage,cost_mean_absolute_coverage_gap_pp,cost_median_q90_absolute_error_pct,cost_solutions_at_or_above_nominal_fraction,emission_mean_coverage,emission_median_coverage,emission_mean_absolute_coverage_gap_pp,emission_median_q90_absolute_error_pct,emission_solutions_at_or_above_nominal_fraction,makespan_mean_coverage,makespan_median_coverage,makespan_mean_absolute_coverage_gap_pp,makespan_median_q90_absolute_error_pct,makespan_solutions_at_or_above_nominal_fraction,all_objectives_mean_absolute_coverage_gap_pp
1,CCP100,100,69.50602118577808,27,0.5953734630188872,0.33270112067818947,17,0.6331430455686785,0.26875828260691337,14,0.8673703703703706,0.8706,3.262962962962965,0.39519470855933425,0.0,0.9375037037037037,0.937,3.7503703703703657,0.03123301265978574,1.0,0.833237037037037,0.8338,6.676296296296299,4.854374986260391,0.0,4.563209876543211
1,CCP300,300,79.40108372084796,79,1.1068270412835985,0.06065842686914955,46,1.1460405749788949,0.026850248629692087,56,0.8892632911392402,0.8886,1.108607594936711,0.158109915708597,0.06329113924050633,0.8957746835443038,0.8952,0.5632911392405074,0.0022275989550277595,0.26582278481012656,0.8919974683544302,0.8934,0.8331645569620275,0.41733528641681866,0.08860759493670886,0.8350210970464154
2,CCP100,100,71.02844647085294,30,0.657247195472619,0.2661802801764291,22,0.5415358619615496,0.22089127971916755,25,0.8028266666666668,0.8015000000000001,9.717333333333338,1.2152303985702244,0.0,0.8452466666666667,0.8464,5.475333333333336,0.024118122136236615,0.0,0.8364600000000001,0.8362,6.354000000000003,3.3321876284254506,0.0,7.182222222222226
2,CCP300,300,80.5084407129325,38,1.2241978989127742,0.02579355287691728,28,1.0235174637694462,0.09673026105213156,29,0.8769736842105263,0.877,2.302631578947371,0.27656772703178845,0.0,0.8966421052631581,0.8976,0.5610526315789486,0.0032244480312317667,0.3684210526315789,0.8764578947368422,0.8765000000000001,2.3542105263157906,1.4059728660658866,0.0,1.739298245614037
3,CCP100,100,69.33397848112509,53,0.6918731014026285,0.2483417077639752,36,0.7197770627227583,0.13971735112231368,31,0.8351773584905661,0.831,6.482264150943398,0.7579649016526264,0.0,0.8824830188679247,0.8818,1.7539622641509456,0.005597827025690101,0.018867924528301886,0.8760000000000001,0.8776,2.4558490566037747,1.5202946299661877,0.07547169811320754,3.5640251572327077
3,CCP300,300,80.46101145166904,71,0.5677054710160497,0.39107789639383667,36,0.6238094483390503,0.22086252821494717,60,0.9050760563380282,0.9054,0.5791549295774638,0.07126476628844643,0.8732394366197183,0.8572450704225352,0.856,4.275492957746481,0.012332258315750399,0.0,0.8971633802816902,0.9004,0.7157746478873244,0.2728323197386057,0.5211267605633803,1.8568075117370897
